depto,deptodesc.x,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,primary_age_population,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,urban_households,rural_households,pct_urban_households,pct_rural_households,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,total_emigrants_household,households_receiving_remittances,pct_households_with_emigrants,pct_households_receiving_remittances,depto_name,dept_geo_code
01,01,348880,164584,184296,1688,17306,9.75384259794291,224274,260583,86.06624376878,57870,59433,97.37014789763263,32158,37615,85.49248969825868,10174,17306,58.78885935513695,36037,37615,95.80486508042004,15532,17306,89.74921992372587,413,49078,0.8415175842536371,23606,39.71867481029058,133254,260583,51.13687385593074,15357,59433,25.839180253394577,8322,133254,6.24521590346256,2884,23606,12.217232906888079,42566,125345,33.95907295863417,107421,72810,34611,67.78004300835032,32.219956991649674,6220,4574,1646,8608,17308,5.79030171009393,16.11230578750896,Ahuachapán,SVAH
02,02,552938,257932,295006,2686,25848,10.391519653358094,382358,433907,88.11980447423065,83832,86964,96.39850972816338,44665,52145,85.65538402531404,14921,25848,57.72593624264933,49297,52145,94.5383066449324,22773,25848,88.10352831940575,831,69369,1.19794144358431,36529,42.00473759256704,246885,433907,56.898137158423346,15242,86964,17.52679269582816,10682,246885,4.326710816777042,3305,36529,9.047606011661967,79087,237034,33.365255617337596,182885,127481,55404,69.70555266971047,30.294447330289525,12799,9429,3370,17792,48498,6.998386964485879,26.518303852147525,Santa Ana,SVSA
03,03,470455,220343,250112,1970,23343,8.439360836224992,312009,354899,87.91487155500579,76417,78561,97.27091050266672,42450,49481,85.79050544653504,13351,23343,57.19487640834512,47470,49481,95.93581374669066,21236,23343,90.97373945079896,559,64862,0.8618297308131109,33664,42.850778376039,196928,354899,55.48846291480111,16471,78561,20.965873652321125,10936,196928,5.553298667533312,3803,33664,11.296934410646388,57923,186551,31.049418121586054,146500,106466,40034,72.67303754266212,27.326962457337885,8899,6539,2360,12394,27424,6.074402730375427,18.719453924914674,Sonsonate,SVSO
04,04,185930,87682,98248,1148,9033,12.708956050038747,121973,145166,84.02311836104873,26653,27532,96.80735144559058,15271,17678,86.38420635818531,5399,9033,59.7697332004871,16762,17678,94.81841837311913,7812,9033,86.48289604782464,417,23658,1.7626172964747655,11371,41.30103152695046,69571,145166,47.92513398454184,6798,27532,24.691268342292606,2638,69571,3.791809805809892,784,11371,6.894732213525636,24538,67350,36.43355605048255,62703,16240,46463,25.89987719885811,74.1001228011419,9334,6526,2808,13493,26356,14.886050109245172,42.03307656730938,Chalatenango,SVCH
05,05,765879,358057,407822,2539,34140,7.437024018746339,544547,606815,89.73855293623262,115716,120693,95.8763142850041,57126,68490,83.4077967586509,20494,34140,60.02929115407147,64028,68490,93.48518031829464,30738,34140,90.03514938488577,665,90926,0.7313639663022677,52023,43.103576843727474,356129,606815,58.68823282219457,18733,120693,15.521198412501139,15356,356129,4.311920680427598,4676,52023,8.988332083885973,79027,341438,23.145344103468272,248567,200243,48324,80.5589639815422,19.4410360184578,17458,12589,4869,24868,51838,7.023458463915162,20.854739366046175,La Libertad,SVLI
06,06,1563371,719683,843688,2916,65382,4.459943103606498,1194865,1273441,93.8296316829755,231446,237527,97.43986999372703,108692,128050,84.88246778602108,41945,65382,64.15374262029304,122343,128050,95.54314720812182,61533,65382,94.11305863999266,803,170893,0.4698846646732166,98153,41.32288118824386,780136,1273441,61.262045120268624,25831,237527,10.874974213457838,40705,780136,5.217679994257412,11598,98153,11.816246064817173,178765,740234,24.149795875358333,513188,495903,17285,96.63183862444173,3.368161375558275,32472,23325,9147,46669,102774,6.327505709408638,20.026578953521906,San Salvador,SVSS
07,07,244901,114155,130746,740,12384,5.975452196382429,169685,188419,90.05726598697584,40543,41267,98.2455715220394,21037,24237,86.79704583900647,7680,12384,62.01550387596899,23425,24237,96.64975038164789,11590,12384,93.58850129198966,220,32429,0.6784051312097197,17231,41.754913126711415,103303,188419,54.826211793927364,7440,41267,18.028933530423824,5041,103303,4.879819559935336,1922,17231,11.154314897568335,32959,98482,33.467029507930384,75440,57692,17748,76.47401908801697,23.525980911983034,5259,3708,1551,7582,13823,6.971102863202545,18.323170731707318,Cuscatlán,SVCU
08,08,318374,149912,168462,1077,16114,6.68362914236068,217642,244259,89.10296038221723,52822,54242,97.3821024298514,27139,31495,86.16923321162089,9886,16114,61.35037855281122,30182,31495,95.8310842990951,14911,16114,92.53444210003724,393,42066,0.9342461845671088,23886,44.035986873640354,136572,244259,55.91278110530216,9659,54242,17.807234246524832,5890,136572,4.3127434613244295,2086,23886,8.733149125010467,39567,131075,30.186534426854855,103774,64413,39361,62.07046080906586,37.92953919093414,8131,5641,2490,11980,24759,7.835295931543547,23.858577292963556,La Paz,SVPA
09,09,143049,65633,77416,1350,8214,16.43535427319211,86303,106022,81.40102997491087,21833,22696,96.19756785336624,14245,16213,87.86159254918893,4736,8214,57.65765765765766,15382,16213,94.87448343921544,6792,8214,82.68809349890431,519,21745,2.3867555759944814,8962,39.487134296792384,48305,106022,45.56129859840411,6689,22696,29.472153683468452,1845,48305,3.819480385053307,568,8962,6.337871010935059,18684,46979,39.770961493433234,42907,16425,26482,38.28046705665742,61.71953294334258,7428,4921,2507,11338,19695,17.311860535576944,45.901601137343555,Cabañas,SVCA
10,10,161857,75528,86329,681,8463,8.04679191775966,104807,123890,84.59681975946404,24143,25219,95.7333756294857,14075,16471,85.45322081233684,5022,8463,59.34065934065934,15691,16471,95.26440410418311,7584,8463,89.61361219425736,253,22130,1.1432444645277904,9663,38.31634878464649,63069,123890,50.907256437162,5540,25219,21.967564138149807,2602,63069,4.125640171875248,794,9663,8.216909862361586,25753,60720,42.4127140974967,54095,32943,21152,60.898419447268694,39.101580552731306,6627,4541,2086,9791,20029,12.25067011738608,37.02560310564747,San Vicente,SVSV
